"test.units","logitpredprobs","gbmpredprobs","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree..misd.fel.","compas_decile_score","two_year_recid","compas_guess","compas_correct","mturkpredprobs","compaspredprobs.linear"
22,0.559273904815178,0.674623570701799,2,0,25,0,0,3,190,1,10,0,1,0,0.85,0.95
42,0.508818099028102,0.68303708119435,2,0,32,0,0,4,36,1,8,1,1,1,0.8,0.75
61,0.384976279004036,0.682896385182255,2,1,51,0,0,7,306,1,2,0,0,1,0.9,0.15
67,0.803165091699977,0.758501440577294,2,0,35,1,0,13,418,1,8,1,1,1,0.95,0.75
70,0.407214892089635,0.337537384385222,2,0,29,0,0,0,379,1,4,0,0,1,0,0.35
98,0.650272340658973,0.754264764291527,2,0,27,0,1,6,21,1,6,1,1,1,0.9,0.55
101,0.50116681415989,0.63099353908668,3,0,45,0,0,6,306,1,1,1,0,0,0.75,0.05
115,0.459673018489169,0.37981877645709,2,1,26,0,0,1,252,1,4,1,0,0,0.7,0.35
122,0.65416921247055,0.586426756660679,2,0,30,0,0,8,283,0,10,1,1,1,0.8,0.95
154,0.224148295792756,0.155669192160187,1,1,39,0,0,0,15,1,1,1,0,0,0.2,0.05
156,0.735916503113512,0.825856264699582,1,0,24,0,1,8,163,1,6,1,1,1,0.95,0.55
163,0.355148552043234,0.431224107690548,1,0,43,0,0,1,306,1,1,0,0,1,0.2,0.05
173,0.54860599890682,0.646074316335073,2,0,33,0,0,5,253,1,5,1,1,1,0.85,0.45
189,0.206048962630654,0.272049694792375,1,0,52,0,0,3,45,0,9,0,1,0,0.8,0.85
203,0.303874187493413,0.223699629750886,2,1,24,0,0,0,45,0,2,0,0,1,0.1,0.15
206,0.679999095835742,0.773804225841316,1,1,29,0,1,10,190,1,4,1,0,0,0.95,0.35
208,0.245386466150966,0.278691314685388,1,0,44,0,0,2,45,0,2,1,0,0,0.5,0.15
210,0.545083499578781,0.617638534114291,2,0,32,0,0,3,306,1,7,1,1,1,0.85,0.65
215,0.400187296063646,0.227460936625301,2,0,31,0,0,1,215,0,2,0,0,1,0.4,0.15
222,0.173470060901794,0.182898161223959,1,1,43,0,0,0,133,0,1,0,0,1,0.1,0.05
227,0.304979034270986,0.183818843351858,2,1,31,0,0,0,319,1,3,1,0,0,0.1,0.25
265,0.622005810718566,0.751266808084687,2,0,28,0,0,6,337,0,6,1,1,1,0.85,0.55
266,0.247811978936561,0.299528716707107,3,0,54,0,0,2,65,1,1,0,0,1,0.55,0.05
277,0.874398027002836,0.872558328528904,2,0,47,0,0,23,283,0,8,1,1,1,0.95,0.75
279,0.18209586503199,0.159476598214896,3,0,57,0,0,1,129,1,1,0,0,1,0.05,0.05
282,0.503125410590923,0.638354849862347,1,0,45,0,0,8,423,0,4,1,0,0,0.85,0.35
319,0.320861260950656,0.264785766553949,1,0,56,0,0,7,172,1,1,1,0,0,0.9,0.05
320,0.827639997319203,0.699805430748665,2,0,38,0,0,15,306,1,9,0,1,0,0.95,0.85
332,0.385494268881968,0.51438732647389,2,1,30,0,0,2,190,1,7,0,1,0,0.85,0.65
363,0.427318387735201,0.474298995281857,1,0,44,0,0,8,45,0,5,1,1,1,0.95,0.45
364,0.455847887785153,0.367035445868675,2,0,25,0,0,0,190,1,3,0,0,1,0.3,0.25
366,0.513630393523289,0.525042018036937,1,0,22,0,0,1,430,0,8,1,1,1,0.6,0.75
375,0.527569822287741,0.49328818749691,1,0,30,0,0,4,159,1,2,0,0,1,0.95,0.15
400,0.393960611720353,0.259888095150832,2,1,23,0,0,0,71,1,4,1,0,0,0.3,0.35
408,0.428351231668531,0.252553969456355,1,1,22,0,0,1,246,1,3,0,0,1,0.25,0.25
446,0.333492782383149,0.365333098951118,2,1,21,0,0,0,45,0,6,0,1,0,0.1,0.55
469,0.512599462931264,0.65941679103064,2,0,20,0,0,0,186,1,10,1,1,1,0.4,0.95
480,0.512599462931264,0.65941679103064,2,0,20,0,0,0,190,1,9,1,1,1,0.1,0.85
505,0.38981352159466,0.220119832783124,2,0,29,0,0,0,15,1,1,0,0,1,0.4,0.05
510,0.222946948047498,0.271437411202541,3,0,51,0,0,1,31,0,1,0,0,1,0.15,0.05
526,0.481855629281648,0.366890468851118,1,1,21,0,0,0,306,1,6,0,1,0,0.65,0.55
533,0.393555817562731,0.233141614738056,2,1,23,0,0,0,129,1,5,1,1,1,0.2,0.45
552,0.542599152917839,0.558947122226873,1,0,22,0,0,2,283,0,6,1,1,1,0.55,0.55
603,0.541891799113119,0.610474297239344,2,0,29,1,0,2,21,1,5,0,1,0,0.7,0.45
622,0.22927736318391,0.149591181241476,1,1,39,0,0,0,123,0,6,0,1,0,0.05,0.55
640,0.512599462931264,0.65941679103064,2,0,20,0,0,0,186,1,7,1,1,1,0.25,0.65
646,0.2363902697442,0.171770621677905,3,0,48,0,0,1,239,0,1,1,0,0,0.05,0.05
648,0.1979994999012,0.221446416825465,2,0,57,0,0,1,175,1,5,1,1,1,0.2,0.45
654,0.365761337806649,0.278141677510625,1,0,33,0,0,0,21,1,1,0,0,1,0.05,0.05
657,0.486281031987862,0.545972198990534,2,1,24,0,0,3,190,1,10,1,1,1,0.85,0.95
685,0.232504669350452,0.345706234006967,2,1,46,0,0,2,190,1,10,1,1,1,0.4,0.95
692,0.525020468222563,0.616894108512542,2,0,29,0,0,3,309,1,5,1,1,1,0.9,0.45
700,0.759020569671277,0.777287166666343,2,0,26,1,1,10,18,1,9,1,1,1,0.95,0.85
726,0.4798503112592,0.41816595677725,1,0,34,0,0,4,303,1,6,1,1,1,0.55,0.55
728,0.51910410229975,0.611364945607703,3,0,34,0,0,4,61,1,1,1,0,0,0.95,0.05
730,0.372208040575599,0.290677294703566,4,0,35,0,0,0,64,1,6,0,1,0,0.15,0.55
754,0.544016537296564,0.700238754298844,2,0,29,0,0,4,163,1,4,1,0,0,1,0.35
763,0.658673858588385,0.621154143244867,3,0,26,0,0,7,15,1,5,1,1,1,1,0.45
765,0.925619204953771,0.664943959622579,2,0,66,0,0,33,90,1,6,1,1,1,1,0.55
787,0.551246881399863,0.67226234047,3,0,30,0,0,7,45,0,4,0,0,1,0.9,0.35
794,0.593154760632578,0.682996618360053,2,0,29,0,0,5,253,1,5,1,1,1,0.9,0.45
800,0.1300314986616,0.170352748494303,2,0,55,0,0,0,45,0,8,1,1,1,0.05,0.75
807,0.390593067958478,0.37954006678435,1,0,23,0,0,0,45,0,9,0,1,0,0.2,0.85
829,0.787618996346179,0.838060410048179,1,0,22,1,0,6,306,1,10,1,1,1,0.95,0.95
837,0.307530754988062,0.420738327666181,1,0,46,0,0,2,297,1,6,1,1,1,0.4,0.55
838,0.279980052884916,0.321442867679935,2,0,44,0,0,1,333,0,3,0,0,1,0.25,0.25
844,0.320342554654105,0.490919252410561,2,0,58,0,0,6,175,1,6,0,1,0,0.8,0.55
853,0.221332729077972,0.271188857135076,2,0,50,0,0,3,45,0,3,0,0,1,0.6,0.25
855,0.340909727733526,0.293016659814399,2,0,38,0,0,0,60,1,1,0,0,1,0.35,0.05
863,0.456268856223712,0.427874896383851,1,0,40,0,0,5,229,1,4,0,0,1,0.85,0.35
887,0.569517826185996,0.649221484803838,2,0,30,0,0,5,129,1,6,1,1,1,0.85,0.55
893,0.33700214665581,0.237821133163956,3,0,31,0,0,0,134,0,1,0,0,1,0.2,0.05
913,0.489326206906532,0.639386437177712,2,0,31,0,0,3,425,0,8,1,1,1,0.75,0.75
919,0.3867310873027,0.390343917980676,3,0,36,0,0,1,243,0,10,1,1,1,0.15,0.95
921,0.417855542668261,0.252499839374745,2,0,30,0,0,1,283,0,7,0,1,0,0.15,0.65
934,0.59306347807794,0.71280108174566,2,0,25,0,0,4,188,1,5,1,1,1,0.9,0.45
947,0.508633717092115,0.603976382964572,1,1,23,0,0,3,253,1,10,0,1,0,0.9,0.95
956,0.664456689162576,0.751944721686913,2,0,24,0,0,4,306,1,10,1,1,1,0.95,0.95
963,0.468122016573935,0.370103868344764,1,0,25,0,0,1,16,1,5,0,1,0,0.5,0.45
990,0.19489111681412,0.200243956848917,1,1,45,0,0,1,172,1,6,0,1,0,0.1,0.55
999,0.346475449085572,0.331077949233122,1,0,38,0,0,1,90,1,1,1,0,0,0.4,0.05
1004,0.531287833374702,0.526448183585194,3,0,23,0,0,2,283,0,6,1,1,1,0.65,0.55
1022,0.240966847373152,0.212880867685826,2,1,31,0,0,0,45,0,1,0,0,1,0.1,0.05
1024,0.493845392515587,0.404620830162381,2,0,27,0,0,0,306,0,2,0,0,1,0.25,0.15
1032,0.646167871410087,0.720606335172553,3,0,29,0,0,7,129,1,9,1,1,1,0.9,0.85
1044,0.397614858672366,0.496700082202918,2,0,36,0,1,4,45,0,5,0,1,0,0.95,0.45
1059,0.412924870749465,0.455733068707604,2,0,24,0,0,1,45,0,6,0,1,0,0.5,0.55
1066,0.319563176498443,0.18648390691509,1,0,40,0,0,1,222,1,2,0,0,1,0.2,0.15
1103,0.477912211446033,0.408170234291536,2,0,22,0,0,0,246,1,8,0,1,0,0.15,0.75
1128,0.393489765711747,0.199766752910053,1,1,22,0,0,0,208,0,5,0,1,0,0.05,0.45
1130,0.947943109450774,0.94527661291603,1,0,30,0,0,22,306,1,5,1,1,1,0.9,0.45
1144,0.494677942619856,0.638488696543308,2,1,29,0,0,3,306,1,5,0,1,0,0.85,0.45
1146,0.56023224174796,0.598537471095656,2,0,26,0,0,4,16,1,7,1,1,1,0.75,0.65
1153,0.489877897936815,0.595751879436784,1,1,20,0,0,1,65,1,8,1,1,1,0.65,0.75
1157,0.480156802481177,0.602061069214846,5,0,27,0,0,3,133,0,7,0,1,0,0.85,0.65
1159,0.127757889620209,0.149366115416211,2,1,53,0,0,0,172,1,1,0,0,1,0.15,0.05
1160,0.378959378711278,0.191092833626342,2,1,23,0,0,0,10,1,7,0,1,0,0.3,0.65
1162,0.615283648999086,0.720660339533148,2,0,26,0,0,5,186,1,7,1,1,1,0.9,0.65
1166,0.559178081955766,0.595487905690326,2,0,27,0,0,4,246,1,9,1,1,1,0.85,0.85
1191,0.51716509276359,0.52761864799669,1,0,22,0,0,0,58,1,4,1,0,0,0.15,0.35
1195,0.33631191033705,0.274040768432169,2,1,37,0,0,3,336,1,7,0,1,0,0.85,0.65
1196,0.308149454652767,0.248485475393467,1,0,31,0,0,0,45,0,1,0,0,1,0.1,0.05
1212,0.333924484070819,0.306223788252493,2,1,24,0,0,1,45,0,5,1,1,1,0.05,0.45
1215,0.0401344534938723,0.216410969460248,3,0,83,0,0,0,45,0,1,0,0,1,0.05,0.05
1216,0.478881181883686,0.477633463074161,1,0,28,0,0,2,246,1,6,0,1,0,0.45,0.55
1240,0.898805141128001,0.898081193162842,2,0,29,0,1,16,306,1,10,0,1,0,0.95,0.95
1241,0.381336804976495,0.333800474638776,1,0,34,0,0,1,101,0,3,1,0,0,0.2,0.25
1244,0.287621918669984,0.392857079186487,1,0,47,0,0,2,377,1,4,0,0,1,0.3,0.35
1250,0.806686658346392,0.784655737143664,2,0,35,0,0,13,306,1,8,1,1,1,1,0.75
1283,0.579262750115829,0.599205704880045,2,0,21,0,1,1,33,1,9,1,1,1,0.9,0.85
1286,0.601153430543927,0.716061060043048,1,0,24,0,2,3,129,1,4,1,0,0,0.75,0.35
1300,0.401516183151202,0.209029485706026,1,1,21,0,0,0,283,0,5,0,1,0,0.1,0.45
1314,0.960575047237946,0.886264197139824,2,0,31,0,3,25,337,0,8,1,1,1,0.95,0.75
