"DATE.FC.due","YEAR.issued","QUARTER.issued","ID","INDUSTRY","DATE.issued","FC.Horizon","Prob.Forecast","gdp.last.recess","gdp.first.recess"
1968-10-01,1968,4,16,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,14,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,15,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,1,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,2,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,4,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,0,"#N/A",1968-10-01,"0",0.0282558139534884,0,0
1968-10-01,1968,4,5,"#N/A",1968-10-01,"0",0.1,0,0
1968-10-01,1968,4,6,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,3,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,58,"#N/A",1968-10-01,"0",0.01,0,0
1968-10-01,1968,4,9,"#N/A",1968-10-01,"0",0.01,0,0
1968-10-01,1968,4,11,"#N/A",1968-10-01,"0",0.1,0,0
1968-10-01,1968,4,12,"#N/A",1968-10-01,"0",0.1,0,0
1968-10-01,1968,4,13,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,54,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,55,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,56,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,57,"#N/A",1968-10-01,"0",0.05,0,0
1968-10-01,1968,4,31,"#N/A",1968-10-01,"0",0.1,0,0
1968-10-01,1968,4,32,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,33,"#N/A",1968-10-01,"0",0.1,0,0
1968-10-01,1968,4,34,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,20,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,21,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,10,"#N/A",1968-10-01,"0",0,0,0
1968-10-01,1968,4,53,"#N/A",1968-10-01,"0",0,0,0
